	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Ensemble ID	Gene_symbol	N/A	Protein Name	cytosol	extracellular	membrane	mitochondrion	nucleus	secretory-pathway	Reviewed
17	17	17	0	ENSG00000196224	KRTAP5-3	0.0	Q6L8H2	0.51	0.0	0.0	0.0	0.0	0.0	Reviewed
18	18	18	0	ENSG00000196224	KRTAP5-3	0.0	Q6L8H2	0.51	0.0	0.0	0.0	0.0	0.0	Reviewed
19	19	19	0	ENSG00000170959	DCDC1	0.0	P59894	0.79	0.0	0.0	0.0	0.7	0.0	Reviewed
20	20	20	0	ENSG00000132740	IGHMBP2	0.0	P38935	0.96	0.8	0.937	0.0	0.9964	0.0	Reviewed
21	21	21	0	ENSG00000170782	OR10A4	0.0	Q9H209	0.0	0.8	0.937	0.0	0.0	0.0	Reviewed
22	22	22	0	ENSG00000136051	KIAA10	0.0	Q2M389	0.988	0.0	0.0	0.0	0.96	0.8600000000000001	Reviewed
23	23	23	0	ENSG00000087470	DNM1L	0.0	O00429	0.9999999677439999	0.8	0.51	0.988	0.94	0.9972559999999999	Reviewed
24	24	24	0	ENSG00000151233	GXYLT1	0.0	Q4G148	0.0	0.8	0.30000000000000004	0.7	0.0	0.7	Reviewed
25	25	25	0	ENSG00000151233	GXYLT1	0.0	Q4G148	0.0	0.8	0.30000000000000004	0.7	0.0	0.7	Reviewed
26	26	26	0	ENSG00000151233	GXYLT1	0.0	Q4G148	0.0	0.8	0.30000000000000004	0.7	0.0	0.7	Reviewed
27	27	27	0	ENSG00000125246	CLYBL	0.0	Q8N0X4	0.94	0.0	0.0	0.79	0.0	0.0	Reviewed
28	28	28	0	ENSG00000151846	PABPC3	0.0	Q9H361	0.9997648000000001	0.0	0.0	0.0	0.0	0.0	Reviewed
29	29	29	0	ENSG00000151846	PABPC3	0.0	Q9H361	0.9997648000000001	0.0	0.0	0.0	0.0	0.0	Reviewed
30	30	30	0	ENSG00000151846	PABPC3	0.0	Q9H361	0.9997648000000001	0.0	0.0	0.0	0.0	0.0	Reviewed
31	31	31	0	ENSG00000151846	PABPC3	0.0	Q9H361	0.9997648000000001	0.0	0.0	0.0	0.0	0.0	Reviewed
32	32	32	0	ENSG00000151846	PABPC3	0.0	Q9H361	0.9997648000000001	0.0	0.0	0.0	0.0	0.0	Reviewed
33	33	33	0	ENSG00000136141	LRCH1	0.0	Q9Y2L9	0.9976	0.0	0.91	0.0	0.8	0.0	Reviewed
34	34	34	0	ENSG00000136141	LRCH1	0.0	Q9Y2L9	0.9976	0.0	0.91	0.0	0.8	0.0	Reviewed
35	35	35	0	ENSG00000186047	DLEU7	0.0	Q6UYE1	0.0	0.0	0.0	0.0	0.0	0.7	Reviewed
36	36	36	0	ENSG00000182218	HHIPL1	0.30000000000000004	Q96JK4	0.7	0.958	0.8600000000000001	0.0	0.7	0.7	Reviewed
37	37	37	0	ENSG00000211952	IGHV4-28	0.0	A0A0C4DH34	0.0	0.94	0.982	0.0	0.0	0.0	Reviewed
38	38	38	0	ENSG00000211967	IGHV3-53	0.0	P01767	0.0	0.958	0.8600000000000001	0.0	0.0	0.0	Reviewed
39	39	39	0	ENSG00000197775	DHRS4-AS1	0.0	Q9P1J3	0.0	0.0	0.0	0.0	0.0	0.7	Reviewed
40	40	40	0	ENSG00000139971	ACTR10	0.0	Q86TY3	0.0	0.94	0.958	0.0	0.0	0.0	Reviewed
41	41	41	0	ENSG00000090061	CCNK	0.0	O75909	0.973	0.0	0.0	0.0	0.99892	0.0	Reviewed
42	42	42	0	ENSG00000153684	GOLGA8F	0.0	Q08AF8	0.0	0.0	0.0	0.0	0.7	0.79	Reviewed
43	43	43	0	ENSG00000153684	GOLGA8G	0.0	Q08AF8	0.0	0.0	0.0	0.0	0.7	0.79	Reviewed
44	44	44	0	ENSG00000179938	GOLGA8J	0.0	A6NMD2	0.0	0.0	0.0	0.0	0.0	0.30000000000000004	Reviewed
45	45	45	0	ENSG00000166262	FAM227B	0.0	Q96M60	0.7	0.0	0.0	0.0	0.8	0.0	Reviewed
46	46	46	0	ENSG00000166262	FAM227B	0.0	Q96M60	0.7	0.0	0.0	0.0	0.8	0.0	Reviewed
47	47	47	0	ENSG00000151575	TEX9	0.0	Q8N6V9	0.94	0.0	0.8	0.0	0.7	0.0	Reviewed
48	48	48	0	ENSG00000138623	SEMA7A	0.0	O75326	0.30000000000000004	0.982	0.995884	0.0	0.0	0.0	Reviewed
49	49	49	0	ENSG00000173517	SGK269	0.0	Q9H792	0.958	0.0	0.8	0.0	0.7	0.0	Reviewed
50	50	50	0	ENSG00000197253	TPSB2	0.0	P20231	0.8	0.8	0.8	0.0	0.0	0.8	Reviewed
51	51	51	0	ENSG00000158486	DNAH3	0.0	Q8TD57	0.99989416	0.0	0.0	0.0	0.8	0.0	Reviewed
52	52	52	0	ENSG00000166501	PRKCB	0.0	P05771	0.9998992	0.8	0.96	0.0	0.992	0.0	Reviewed
53	53	53	0	ENSG00000166501	PRKCB	0.0	P05771	0.9998992	0.8	0.96	0.0	0.992	0.0	Reviewed
54	54	54	0	ENSG00000140983	RHOT2	0.0	Q8IXI1	0.988	0.8	0.902	0.96	0.0	0.7	Reviewed
55	55	55	0	ENSG00000159210	SNF8	0.0	Q96H20	0.9999328000000002	0.8	0.96	0.0	0.9996799999999999	0.9984	Reviewed
56	56	56	0	ENSG00000154240	CEP112	0.0	Q8N8E3	0.9962200000000001	0.0	0.51	0.0	0.94	0.94	Reviewed
57	57	57	0	ENSG00000154229	PRKCA	0.0	P17252	0.99996976	0.8	0.96	0.51	0.30000000000000004	0.8	Reviewed
58	58	58	0	ENSG00000215644	GCGR	0.0	P47871	0.0	0.8	0.998236	0.0	0.0	0.8600000000000001	Reviewed
59	59	59	0	ENSG00000215644	GCGR	0.0	P47871	0.0	0.8	0.998236	0.0	0.0	0.8600000000000001	Reviewed
60	60	60	0	ENSG00000101489	CELF4	0.0	Q9BZC1	0.8600000000000001	0.0	0.8	0.0	0.9964	0.0	Reviewed
61	61	61	0	ENSG00000101489	CELF4	0.0	Q9BZC1	0.8600000000000001	0.0	0.8	0.0	0.9964	0.0	Reviewed
62	62	62	0	ENSG00000198003	CCDC151	0.0	A5D8V7	0.9983799999999999	0.0	0.7	0.0	0.94	0.0	Reviewed
63	63	63	0	ENSG00000129968	ABHD17A	0.0	Q96GS6	0.8	0.8	0.9862799999999999	0.0	0.0	0.958	Reviewed
64	64	64	0	ENSG00000237440	ZNF737	0.0	O75373	0.0	0.0	0.0	0.0	0.79	0.7	Reviewed
65	65	65	0	ENSG00000267120	U2AF1L4	0.0	M0R2N4	0.0	0.0	0.0	0.0	0.7	0.0	Unreviewed
66	66	66	0	ENSG00000267120	U2AF1L4	0.0	M0R2N4	0.0	0.0	0.0	0.0	0.7	0.0	Unreviewed
67	67	67	0	ENSG00000105289	TJP3	0.0	O95049	0.7	0.8	0.972	0.0	0.988	0.0	Reviewed
68	68	68	0	ENSG00000131398	KCNC3	0.0	Q14003	0.657	0.8	0.9999481384000001	0.0	0.0	0.0	Reviewed
69	69	69	0	ENSG00000169994	MYO7B	0.0	Q6PIF6	0.9811	0.0	0.96	0.0	0.0	0.0	Reviewed
70	70	70	0	ENSG00000144357	UBR3	0.0	Q6ZT12	0.973	0.94	0.30000000000000004	0.0	0.96	0.0	Reviewed
71	71	71	0	ENSG00000127838	PNKD	0.0	Q8N490	0.0	0.8	0.96	0.9976	0.8600000000000001	0.988	Reviewed
72	72	72	0	ENSG00000115364	C2orf3	0.0	P49406	0.8	0.0	0.0	0.9998488000000001	0.992	0.0	Reviewed
73	73	73	0	ENSG00000068615	REEP1	0.0	Q9H902	0.8	0.8	0.972	0.30000000000000004	0.0	0.9874	Reviewed
74	74	74	0	ENSG00000068615	REEP1	0.0	Q9H902	0.8	0.8	0.972	0.30000000000000004	0.0	0.9874	Reviewed
75	75	75	0	ENSG00000244437	IGKV3-15	0.0	P01624	0.0	0.9706	0.8600000000000001	0.0	0.0	0.0	Reviewed
76	76	76	0	ENSG00000149646	C20orf152	0.0	Q96M20	0.30000000000000004	0.0	0.0	0.7	0.0	0.0	Reviewed
77	77	77	0	ENSG00000124177	CHD6	0.0	Q8TD26	0.0	0.0	0.7	0.0	0.9999568000000001	0.0	Reviewed
78	78	78	0	ENSG00000273047	SLC2A4RG	0.0	V9GYV3	0.0	0.0	0.0	0.0	0.7	0.0	Unreviewed
79	79	79	0	ENSG00000183067	IGSF5	0.0	Q9NSI5	0.0	0.94	0.657	0.0	0.7	0.0	Reviewed
80	80	80	0	ENSG00000198062	POTEH	0.0	Q6S545	0.7	0.0	0.0	0.0	0.7	0.0	Reviewed
81	81	81	0	ENSG00000198062	POTEH	0.0	Q6S545	0.7	0.0	0.0	0.0	0.7	0.0	Reviewed
82	82	82	0	ENSG00000131100	ATP6V1E1	0.0	P36543	0.9559	0.0	0.995884	0.7	0.8	0.7	Reviewed
83	83	83	0	ENSG00000131100	ATP6V1E1	0.0	P36543	0.9559	0.0	0.995884	0.7	0.8	0.7	Reviewed
84	84	84	0	ENSG00000093010	TXNRD2	0.0	P21964	0.9991768	0.96	0.9764702	0.0	0.0	0.8	Reviewed
85	85	85	0	ENSG00000093010	TXNRD2	0.0	P21964	0.9991768	0.96	0.9764702	0.0	0.0	0.8	Reviewed
86	86	86	0	ENSG00000128322	IGLL1	0.0	P15814	0.0	0.9874	0.9874	0.0	0.0	0.96	Reviewed
87	87	87	0	ENSG00000128322	IGLL1	0.0	P15814	0.0	0.9874	0.9874	0.0	0.0	0.96	Reviewed
88	88	88	0	ENSG00000239713	APOBEC3G	0.0	Q9HC16	0.9988239999999999	0.0	0.0	0.0	0.902	0.0	Reviewed
89	89	89	0	ENSG00000121879	PIK3CA	0.0	P42336	0.9997732	0.0	0.79	0.0	0.0	0.0	Reviewed
90	90	90	0	ENSG00000043093	DCUN1D1	0.0	Q96GG9	0.9976	0.0	0.0	0.0	0.96	0.0	Reviewed
91	91	91	0	ENSG00000145113	MUC4	0.0	Q99102	0.51	0.9941200000000001	0.995884	0.0	0.0	0.30000000000000004	Reviewed
92	92	92	0	ENSG00000145113	MUC4	0.0	Q99102	0.51	0.9941200000000001	0.995884	0.0	0.0	0.30000000000000004	Reviewed
93	93	93	0	ENSG00000145113	MUC4	0.0	Q99102	0.51	0.9941200000000001	0.995884	0.0	0.0	0.30000000000000004	Reviewed
94	94	94	0	ENSG00000145113	MUC4	0.0	Q99102	0.51	0.9941200000000001	0.995884	0.0	0.0	0.30000000000000004	Reviewed
95	95	95	0	ENSG00000145113	MUC4	0.0	Q99102	0.51	0.9941200000000001	0.995884	0.0	0.0	0.30000000000000004	Reviewed
96	96	96	0	ENSG00000145113	MUC4	0.0	Q99102	0.51	0.9941200000000001	0.995884	0.0	0.0	0.30000000000000004	Reviewed
97	97	97	0	ENSG00000163630	SYNPR	0.0	Q8TBG9	0.0	0.8	0.9706	0.0	0.0	0.9964	Reviewed
98	98	98	0	ENSG00000112977	DAP	0.0	P51397	0.94	0.0	0.0	0.8	0.94	0.0	Reviewed
99	99	99	0	ENSG00000197451	HNRNPAB	0.0	Q99729	0.7	0.0	0.0	0.0	0.999676	0.0	Reviewed
100	100	100	0	ENSG00000234284	ZNF879	0.0	B4DU55	0.0	0.0	0.0	0.0	0.8600000000000001	0.0	Reviewed
101	101	101	0	ENSG00000164256	PRDM9	0.0	Q9NQV7	0.0	0.7	0.0	0.0	0.9559	0.0	Reviewed
102	102	102	0	ENSG00000164188	RANBP3L	0.0	Q86VV4	0.91	0.0	0.0	0.0	0.9811	0.0	Reviewed
103	103	103	0	ENSG00000039123	SKIV2L2	0.0	P42285	0.8	0.0	0.0	0.0	0.9999905920000001	0.0	Reviewed
104	104	104	0	ENSG00000095015	MAP3K1	0.0	Q13233	0.9874	0.0	0.0	0.0	0.0	0.0	Reviewed
105	105	105	0	ENSG00000132837	BHMT	0.0	Q9UI17	0.0	0.0	0.0	0.999784	0.0	0.0	Reviewed
106	106	106	0	ENSG00000112769	LAMA4	0.0	Q16363	0.8600000000000001	0.9974799999999999	0.96	0.0	0.0	0.7	Reviewed
107	107	107	0	ENSG00000152818	UTRN	0.0	P46939	0.99962956	0.8	0.9999947293248	0.0	0.992	0.0	Reviewed
108	108	108	0	ENSG00000120253	NUP43	0.0	Q8NFH3	0.79	0.0	0.0	0.0	0.9862799999999999	0.0	Reviewed
109	109	109	0	ENSG00000204619	PPP1R11	0.0	O60927	0.982	0.0	0.0	0.0	0.91	0.0	Reviewed
110	110	110	0	ENSG00000124587	PEX6	0.0	Q13608	0.99998656	0.8	0.8600000000000001	0.0	0.96	0.7	Reviewed
111	111	111	0	ENSG00000124587	PEX6	0.0	Q13608	0.99998656	0.8	0.8600000000000001	0.0	0.96	0.7	Reviewed
112	112	112	0	ENSG00000065615	CYB5R4	0.0	Q7L1T6	0.988	0.0	0.0	0.0	0.8	0.958	Reviewed
113	113	113	0	ENSG00000112237	CCNC	0.0	P24863	0.94	0.0	0.0	0.7	0.99118	0.0	Reviewed
114	114	114	0	ENSG00000105865	DUS4L	0.0	O95620	0.94	0.0	0.0	0.0	0.0	0.0	Reviewed
115	115	115	0	ENSG00000154438	ASZ1	0.0	Q8WWH4	0.99892	0.0	0.0	0.0	0.8	0.0	Reviewed
116	116	116	0	ENSG00000081800	SLC13A1	0.0	Q9BZW2	0.0	0.8	0.9874	0.0	0.0	0.0	Reviewed
117	117	117	0	ENSG00000081800	SLC13A1	0.0	Q9BZW2	0.0	0.8	0.9874	0.0	0.0	0.0	Reviewed
118	118	118	0	ENSG00000081800	SLC13A1	0.0	Q9BZW2	0.0	0.8	0.9874	0.0	0.0	0.0	Reviewed
119	119	119	0	ENSG00000122779	TRIM24	0.0	O15164	0.30000000000000004	0.0	0.0	0.0	0.99995296	0.0	Reviewed
120	120	120	0	ENSG00000257743	RP11-1220K2.2	0.0	Q2M2H8	0.96	0.8	0.30000000000000004	0.0	0.0	0.0	Reviewed
121	121	121	0	ENSG00000170379	FAM115C	0.0	A6NFQ2	0.91	0.8	0.9984	0.0	0.0	0.0	Reviewed
122	122	122	0	ENSG00000213214	OR2A7	0.0	A5YM69	0.7	0.0	0.7	0.0	0.0	0.0	Reviewed
123	123	123	0	ENSG00000164742	ADCY1	0.0	Q08828	0.937	0.8	0.9874	0.8	0.30000000000000004	0.0	Reviewed
124	124	124	0	ENSG00000182095	TNRC18	0.0	O15417	0.988	0.7	0.0	0.96	0.99999136	0.0	Reviewed
125	125	125	0	ENSG00000146648	EGFR	0.0	P00533	0.972	0.8600000000000001	0.9999999984510668	0.0	0.9944	0.9991768	Reviewed
126	126	126	0	ENSG00000249319	CRCP	0.0	H7C0S8	0.7	0.0	0.0	0.0	0.30000000000000004	0.0	Unreviewed
127	127	127	0	ENSG00000249319	CRCP	0.0	H7C0S8	0.7	0.0	0.0	0.0	0.30000000000000004	0.0	Unreviewed
128	128	128	0	ENSG00000249319	CRCP	0.0	H7C0S8	0.7	0.0	0.0	0.0	0.30000000000000004	0.0	Unreviewed
129	129	129	0	ENSG00000249319	CRCP	0.0	H7C0S8	0.7	0.0	0.0	0.0	0.30000000000000004	0.0	Unreviewed
130	130	130	0	ENSG00000249319	CRCP	0.0	H7C0S8	0.7	0.0	0.0	0.0	0.30000000000000004	0.0	Unreviewed
131	131	131	0	ENSG00000198822	GRM3	0.0	Q14832	0.0	0.8	0.999394948	0.0	0.0	0.0	Reviewed
132	132	132	0	ENSG00000105784	RUNDC3B	0.0	Q96NL0	0.91	0.0	0.0	0.0	0.0	0.0	Reviewed
133	133	133	0	ENSG00000183638	C8orf74	0.0	Q8IWN7	0.937	0.0	0.91	0.0	0.0	0.0	Reviewed
134	134	134	0	ENSG00000168495	POLR3D	0.0	P05423	0.8	0.0	0.0	0.0	0.99999424	0.0	Reviewed
135	135	135	0	ENSG00000183117	CSMD1	0.0	Q96PZ7	0.8	0.94	0.79	0.0	0.0	0.0	Reviewed
136	136	136	0	ENSG00000132561	MATN2	0.0	O00339	0.0	0.9706	0.8	0.0	0.0	0.7	Reviewed
137	137	137	0	ENSG00000132561	MATN2	0.0	O00339	0.0	0.9706	0.8	0.0	0.0	0.7	Reviewed
138	138	138	0	ENSG00000136881	BAAT	0.0	Q14032	0.9988239999999999	0.0	0.0	0.0	0.0	0.0	Reviewed
139	139	139	0	ENSG00000197355	UAP1L1	0.0	Q3KQV9	0.999676	0.0	0.0	0.7	0.0	0.0	Reviewed
140	140	140	0	ENSG00000137145	ENSG00000137145	0.0	Q5VZ89	0.9974799999999999	0.8	0.94	0.0	0.973	0.958	Reviewed
141	141	141	0	ENSG00000147894	C9orf72	0.0	Q96LT7	0.99998656	0.96	0.9944	0.0	0.958	0.8	Reviewed
142	142	142	0	ENSG00000101811	CSTF2	0.0	P33240	0.0	0.0	0.0	0.0	0.9999992320000001	0.0	Reviewed
143	143	143	0	ENSG00000102384	CENPI	0.0	Q92674	0.988	0.0	0.7	0.0	0.9994959999999999	0.0	Reviewed
144	144	144	0	ENSG00000102043	MTMR8	0.0	Q96EF0	0.958	0.0	0.0	0.0	0.94	0.0	Reviewed
145	145	145	0	ENSG00000177301	KCNA2	0.0	P16389	0.91	0.8	0.9999993998872	0.0	0.0	0.30000000000000004	Reviewed
146	146	146	0	ENSG00000178104	PDE4DIP	0.0	Q5VU43	0.9995139999999999	0.0	0.0	0.0	0.9946	0.982	Reviewed
147	147	147	0	ENSG00000122218	COPA	0.0	P53621	0.99992944	0.96	0.8600000000000001	0.0	0.96	0.9794200000000001	Reviewed
148	148	148	0	ENSG00000162889	MAPKAPK2	0.0	P49137	0.99992944	0.0	0.0	0.0	0.9984	0.0	Reviewed
149	149	149	0	ENSG00000154358	OBSCN	0.0	Q5VST9	0.99993196	0.94	0.972	0.0	0.94	0.0	Reviewed
150	150	150	0	ENSG00000198626	RYR2	0.0	Q92736	0.9974799999999999	0.8	0.999856	0.0	0.992	0.937	Reviewed
151	151	151	0	ENSG00000198626	RYR2	0.0	Q92736	0.9974799999999999	0.8	0.999856	0.0	0.992	0.937	Reviewed
152	152	152	0	ENSG00000162374	ELAVL4	0.0	P26378	0.94	0.0	0.0	0.0	0.8	0.0	Reviewed
153	153	153	0	ENSG00000154511	FAM69A	0.0	Q5T7M9	0.8	0.8	0.79	0.0	0.8	0.30000000000000004	Reviewed
154	154	154	0	ENSG00000156395	SORCS3	0.0	Q9UPU3	0.7	0.8	0.958	0.0	0.0	0.8	Reviewed
155	155	155	0	ENSG00000151025	GPR158	0.0	Q5T848	0.8	0.8	0.9874	0.0	0.0	0.0	Reviewed
156	156	156	0	ENSG00000198879	SFMBT2	0.0	Q5VUG0	0.96	0.0	0.0	0.0	0.999784	0.0	Reviewed
157	157	157	0	ENSG00000165632	TAF3	0.0	Q5VWG9	0.0	0.0	0.0	0.0	0.99999616	0.0	Reviewed
158	158	158	0	ENSG00000149577	SIDT2	0.0	Q8NBJ9	0.96	0.8	0.972	0.0	0.0	0.0	Reviewed
159	159	159	0	ENSG00000148942	SLC5A12	0.0	Q1EHB4	0.30000000000000004	0.8	0.9907389999999999	0.0	0.0	0.0	Reviewed
160	160	160	0	ENSG00000110713	NUP98	0.0	P52948	0.9944	0.8	0.0	0.8	0.9999999986452479	0.0	Reviewed
161	161	161	0	ENSG00000172464	OR5AP2	0.0	Q8NGF4	0.0	0.8	0.9706	0.0	0.0	0.0	Reviewed
162	162	162	0	ENSG00000124942	AHNAK	0.0	Q09666	0.999985888	0.8	0.99961584	0.0	0.958	0.0	Reviewed
163	163	163	0	ENSG00000254986	DPP3	0.0	Q9NY33	0.9994959999999999	0.0	0.96	0.0	0.96	0.0	Reviewed
164	164	164	0	ENSG00000175567	ENSG00000175567	0.0	P55851	0.8	0.8	0.94	0.999856	0.0	0.0	Reviewed
165	165	165	0	ENSG00000175567	UCP2	0.0	P55851	0.8	0.8	0.94	0.999856	0.0	0.0	Reviewed
166	166	166	0	ENSG00000111647	UHRF1BP1L	0.0	A0JNW5	0.96	0.0	0.8	0.0	0.7	0.96	Reviewed
167	167	167	0	ENSG00000090975	PITPNM2	0.0	Q9BZ72	0.995884	0.8	0.8600000000000001	0.0	0.0	0.0	Reviewed
168	168	168	0	ENSG00000133703	KRAS	0.0	P01116	0.972	0.8	0.9971188	0.30000000000000004	0.7	0.7	Reviewed
169	169	169	0	ENSG00000188906	LRRK2	0.0	Q5S007	0.99999999564544	0.8600000000000001	0.9999971776000001	0.999784	0.96	0.99984124	Reviewed
170	170	170	0	ENSG00000173157	ADAMTS20	0.0	P59510	0.0	0.958	0.8	0.0	0.0	0.7	Reviewed
171	171	171	0	ENSG00000010610	CD4	0.0	P01730	0.8	0.988	0.9999973120000001	0.0	0.0	0.9519799999999999	Reviewed
172	172	172	0	ENSG00000070961	ATP2B1	0.0	P20020	0.853	0.8	0.999960469936	0.0	0.8	0.0	Reviewed
173	173	173	0	ENSG00000175899	A2M	0.0	P01023	0.51	0.9559	0.8	0.0	0.0	0.79	Reviewed
174	174	174	0	ENSG00000027001	ENSG00000027001	0.0	Q99797	0.0	0.0	0.8	0.9994959999999999	0.0	0.0	Reviewed
175	175	175	0	ENSG00000027001	MIPEP	0.0	Q99797	0.0	0.0	0.8	0.9994959999999999	0.0	0.0	Reviewed
176	176	176	0	ENSG00000172915	NBEA	0.0	Q8NFP9	0.9999351999999999	0.8	0.9946	0.0	0.96	0.94	Reviewed
177	177	177	0	ENSG00000184916	JAG2	0.0	Q9Y219	0.96	0.94	0.9962200000000001	0.0	0.0	0.0	Reviewed
178	178	178	0	ENSG00000211891	IGHE	0.0	P01854	0.0	0.9874	0.982	0.0	0.0	0.0	Reviewed
179	179	179	0	ENSG00000169484	OR4K14	0.0	Q8NGD5	0.0	0.8	0.9874	0.0	0.0	0.0	Reviewed
180	180	180	0	ENSG00000197324	LRP10	0.0	Q7Z4F1	0.30000000000000004	0.8	0.902	0.0	0.96	0.0	Reviewed
181	181	181	0	ENSG00000197555	SIPA1L1	0.30000000000000004	O43166	0.9706	0.8	0.998236	0.0	0.7	0.0	Reviewed
182	182	182	0	ENSG00000021645	NRXN3	0.0	Q9HDB5	0.0	0.94	0.94	0.0	0.0	0.7	Reviewed
183	183	183	0	ENSG00000021645	NRXN3	0.0	Q9Y4C0	0.0	0.94	0.9706	0.0	0.0	0.0	Reviewed
184	184	184	0	ENSG00000021645	NRXN3	0.0	Q9HDB5	0.0	0.94	0.94	0.0	0.0	0.7	Reviewed
185	185	185	0	ENSG00000021645	NRXN3	0.0	Q9Y4C0	0.0	0.94	0.9706	0.0	0.0	0.0	Reviewed
186	186	186	0	ENSG00000021645	NRXN3	0.0	Q9HDB5	0.0	0.94	0.94	0.0	0.0	0.7	Reviewed
187	187	187	0	ENSG00000021645	NRXN3	0.0	Q9Y4C0	0.0	0.94	0.9706	0.0	0.0	0.0	Reviewed
188	188	188	0	ENSG00000185418	TARSL2	0.30000000000000004	A2RTX5	0.9983799999999999	0.0	0.0	0.0	0.0	0.0	Reviewed
189	189	189	0	ENSG00000255529	POLR2M	0.0	Q6EEV4	0.8	0.0	0.0	0.0	0.9964	0.0	Reviewed
190	190	190	0	ENSG00000255529	POLR2M	0.0	P0CAP2	0.79	0.7	0.0	0.7	0.9976	0.0	Reviewed
191	191	191	0	ENSG00000007384	RHBDF1	0.0	Q96CC6	0.30000000000000004	0.8	0.79	0.0	0.0	0.96	Reviewed
192	192	192	0	ENSG00000155592	ZKSCAN2	0.30000000000000004	Q63HK3	0.0	0.0	0.0	0.0	0.999676	0.8	Reviewed
193	193	193	0	ENSG00000188827	SLX4	0.0	Q8IY92	0.9976	0.0	0.96	0.0	0.9999988479999999	0.0	Reviewed
194	194	194	0	ENSG00000140798	ABCC12	0.0	Q96J65	0.0	0.8	0.937	0.0	0.0	0.7	Reviewed
195	195	195	0	ENSG00000065427	KARS	0.0	Q15046	0.999856	0.96	0.8600000000000001	0.9916	0.8	0.0	Reviewed
196	196	196	0	ENSG00000152910	CNTNAP4	0.0	Q9C0A0	0.0	0.8	0.9559	0.0	0.0	0.0	Reviewed
197	197	197	0	ENSG00000073670	ADAM11	0.0	O75078	0.0	0.94	0.9941200000000001	0.0	0.0	0.0	Reviewed
198	198	198	0	ENSG00000073670	ADAM11	0.0	O75078	0.0	0.94	0.9941200000000001	0.0	0.0	0.0	Reviewed
199	199	199	0	ENSG00000109062	SLC9A3R1	0.0	O14745	0.999996773056	0.8	0.9999930851200001	0.0	0.94	0.0	Reviewed
200	200	200	0	ENSG00000141510	TP53	0.0	P04637	0.9984	0.0	0.0	0.972	0.999999999834112	0.30000000000000004	Reviewed
201	201	201	0	ENSG00000197705	KLHL14	0.0	Q9P2G3	0.9999994816	0.8	0.7	0.0	0.0	0.8600000000000001	Reviewed
202	202	202	0	ENSG00000091157	WDR7	0.0	Q9Y4E6	0.982	0.0	0.0	0.0	0.94	0.30000000000000004	Reviewed
203	203	203	0	ENSG00000173482	PTPRM	0.0	P28827	0.96	0.94	0.99998656	0.0	0.0	0.0	Reviewed
204	204	204	0	ENSG00000039987	BEST2	0.0	Q8NFU1	0.0	0.8	0.9962200000000001	0.0	0.0	0.0	Reviewed
205	205	205	0	ENSG00000141867	BRD4	0.0	O60885	0.94	0.0	0.0	0.0	0.9999712	0.0	Reviewed
